datas,variacao_carteira,variacao_benchmark
jan21,-0.03237107714659295,-0.02534782900927544
fev21,-0.05248059336512173,-0.04394706889211333
mar21,0.040287906772622374,0.05996219419099204
abr21,0.04056195767718264,0.01928946195260793
mai21,0.07366891868420103,0.06107556893174501
jun21,0.0046269153369566905,0.004626915336956694
jul21,-0.049597142045234854,-0.03943944101828047
ago21,-0.058006351267046764,-0.024810554748241013
set21,-0.12499101531771292,-0.06577828659937875
out21,-0.06739052081456123,-0.06739052081456118
nov21,-0.006511649570029613,-0.015447185887899222
dez21,0.028513677930844996,0.028513677930845013
