datas,variacao_carteira,variacao_benchmark
jan21,-0.057600086209664704,-0.02534782900927544
fev21,-0.07409006583548769,-0.04394706889211333
mar21,0.07936495812871153,0.05996219419099204
abr21,-0.01445773290552449,0.01928946195260793
mai21,0.06716528187087999,0.06107556893174501
jun21,-0.033981520388349847,0.004626915336956694
jul21,-0.06482583383574585,-0.03943944101828047
ago21,-0.07311619693419963,-0.024810554748241013
set21,-0.11679366678804899,-0.06577828659937875
out21,-0.054557711134842965,-0.06739052081456118
nov21,-0.028651919018406344,-0.015447185887899222
dez21,-0.014228214954962383,0.028513677930845013
