datas,variacao_carteira,variacao_benchmark
2021-06-28,-0.001770634911573909,0.006466774972003596
2021-07-05,-0.009189361936003696,-0.017191393333437808
2021-07-12,0.0011803272355831555,0.004241477182128393
2021-07-19,0.008557485187937482,-0.007184934660759936
2021-07-26,-0.03306619238766549,-0.026043915623150855
2021-08-02,-0.004348259980785852,0.008267448256611085
2021-08-09,-0.027496656189025522,-0.013150501999039159
2021-08-16,-0.04881399372469028,-0.025893011857316142
2021-08-23,0.01317613564360558,0.022235775456786358
2021-08-30,-0.01339225543223345,-0.03314633277260787
